Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Parkinson Disease	C0030567	BORCS7-ASMT	100528007		BORCS7-ASMT readthrough (NMD candidate)		20	0.805	0.154		0.1		1.0	1	2	2009.0	2009.0
Parkinson Disease	C0030567	CDH8	1006	P55286	cadherin 8		18	0.743	0.385	0.98806	0.1		1.0	1	1	2011.0	2011.0
Parkinson Disease	C0030567	FRY	10129	Q5TBA9	FRY microtubule binding protein		42	0.666	0.5	1.0	0.1		1.0	1	1	2012.0	2012.0
Parkinson Disease	C0030567	TNK2	10188	Q07912	tyrosine kinase non receptor 2	Kinase	59	0.623	0.538	8.22e-12	0.1			0	1		
Parkinson Disease	C0030567	DSCAS	101927698		DSC1/DSC2 antisense RNA		3	0.931	0.115		0.1		1.0	1	1	2011.0	2011.0
Parkinson Disease	C0030567	TMC3-AS1	101929655		TMC3 antisense RNA 1		3	1.0	0.038		0.1		1.0	1	1	2013.0	2013.0
Parkinson Disease	C0030567	CDK5	1020	Q00535	cyclin dependent kinase 5	Kinase	204	0.495	0.846	0.13892	0.1		1.0	16	0	2007.0	2020.0
Parkinson Disease	C0030567	MPHOSPH6	10200	Q99547	M-phase phosphoprotein 6		24	0.729	0.308	0.0004107	0.1		1.0	26	1	2000.0	2019.0
Parkinson Disease	C0030567	LINC02224	102723839		long intergenic non-protein coding RNA 2224		2	0.931	0.077		0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	LINC02210-CRHR1	104909134	P34998	LINC02210-CRHR1 readthrough		123	0.57	0.692		0.1		1.0	8	32	2009.0	2016.0
Parkinson Disease	C0030567	LINC02471	105369734		long intergenic non-protein coding RNA 2471		4	0.861	0.154		0.1		1.0	2	4	2012.0	2014.0
Parkinson Disease	C0030567	LINC02451	105369738		long intergenic non-protein coding RNA 2451		2	0.931	0.115		0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	AHSA1	10598	O95433	activator of HSP90 ATPase activity 1		526	0.396	0.923	0.99896	0.1		1.0	10	0	2003.0	2019.0
Parkinson Disease	C0030567	LRRK2-DT	107984474		LRRK2 divergent transcript		6	0.861	0.154		0.1		1.0	4	6	2012.0	2017.0
Parkinson Disease	C0030567	LOC107987479	107987479		cytochrome P450 2D6		76	0.597	0.769		0.1		0.917	12	0	1994.0	2017.0
Parkinson Disease	C0030567	CIT	11113	O14578	citron rho-interacting serine/threonine kinase	Kinase	127	0.555	0.692	0.9997	0.1		1.0	29	1	1998.0	2019.0
Parkinson Disease	C0030567	CHM	1121	P24386	CHM Rab escort protein	Enzyme	82	0.592	0.654	0.99899	0.1		0.892	37	1	2000.0	2020.0
Parkinson Disease	C0030567	SLC2A13	114134	Q96QE2	solute carrier family 2 member 13	Transporter	20	0.78	0.269	0.83307	0.1		1.0	5	6	2009.0	2017.0
Parkinson Disease	C0030567	NLRP3	114548	Q96P20	NLR family pyrin domain containing 3		805	0.361	0.962	0.00081103	0.1		1.0	22	2	2017.0	2020.0
Parkinson Disease	C0030567	RAB39B	116442	Q96DA2	RAB39B, member RAS oncogene family		90	0.619	0.615	0.82529	0.1		0.8	10	1	2014.0	2018.0
Parkinson Disease	C0030567	AGAP1	116987	Q9UPQ3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 1		13	0.839	0.154	0.99984	0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	BORCS7	119032	Q96B45	BLOC-1 related complex subunit 7		10	0.89	0.115	2.2921e-07	0.1		1.0	1	1	2009.0	2009.0
Parkinson Disease	C0030567	KLHDC1	122773	Q8N7A1	kelch domain containing 1		1	1.0	0.038	4.4754e-08	0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	CNTN1	1272	Q12860	contactin 1		81	0.599	0.577	0.15131	0.1		1.0	1	1	2014.0	2014.0
Parkinson Disease	C0030567	COL5A2	1290	P05997	collagen type V alpha 2 chain		139	0.568	0.731	1.0	0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	COL13A1	1305	Q5TAT6	collagen type XIII alpha 1 chain		139	0.608	0.654	3.7355e-14	0.1		1.0	1	1	2013.0	2013.0
Parkinson Disease	C0030567	COMT	1312	P21964	catechol-O-methyltransferase	Enzyme	622	0.4	0.923	1.1377e-06	0.1		0.953	85	6	1984.0	2020.0
Parkinson Disease	C0030567	SLCO6A1	133482	Q86UG4	solute carrier organic anion transporter family member 6A1	Transporter	449	0.412	0.885	2.8807e-11	0.1		0.909	11	0	1999.0	2019.0
Parkinson Disease	C0030567	ADORA2A	135	P29274	adenosine A2a receptor	G-protein coupled receptor	213	0.526	0.769	0.5971	0.1		1.0	17	2	2003.0	2019.0
Parkinson Disease	C0030567	CRHR1	1394	P34998	corticotropin releasing hormone receptor 1		183	0.517	0.769	3.7856e-05	0.1		1.0	3	20	2011.0	2014.0
Parkinson Disease	C0030567	CRK	1398	P46108	CRK proto-oncogene, adaptor protein		544	0.394	0.923	0.95936	0.1		1.0	10	0	2003.0	2019.0
Parkinson Disease	C0030567	CRP	1401	P02741	C-reactive protein		1483	0.299	0.962	0.0036969	0.1		1.0	10	0	2017.0	2020.0
Parkinson Disease	C0030567	MAPK14	1432	Q16539	mitogen-activated protein kinase 14	Kinase	626	0.379	0.923	0.37466	0.1		1.0	11	0	2003.0	2019.0
Parkinson Disease	C0030567	CSF2	1437	P04141	colony stimulating factor 2	Signaling	1028	0.33	0.962	0.83468	0.1		0.97	33	0	2016.0	2020.0
Parkinson Disease	C0030567	LINC02210	147081		long intergenic non-protein coding RNA 2210		10	0.861	0.154		0.1		1.0	8	6	2009.0	2016.0
Parkinson Disease	C0030567	PM20D1	148811	Q6GTS8	peptidase M20 domain containing 1		7	0.821	0.308	1.8989e-18	0.1		1.0	2	1	2009.0	2012.0
Parkinson Disease	C0030567	CTSD	1509	P07339	cathepsin D	Enzyme	242	0.478	0.846	0.00091747	0.1		0.917	12	1	2003.0	2020.0
Parkinson Disease	C0030567	CNKSR3	154043	Q6P9H4	CNKSR family member 3		18	0.751	0.615	0.028166	0.1		1.0	1	1	2012.0	2012.0
Parkinson Disease	C0030567	CBLL2	158506	Q8N7E2	Cbl proto-oncogene like 2	Enzyme	235	0.476	0.808		0.1		1.0	54	0	2002.0	2019.0
Parkinson Disease	C0030567	CYP17A1	1586	P05093	cytochrome P450 family 17 subfamily A member 1		326	0.462	0.769	0.00026255	0.1		1.0	1	1	2009.0	2009.0
Parkinson Disease	C0030567	TMEM229B	161145	Q8NBD8	transmembrane protein 229B		5	0.931	0.115	0.13003	0.1		1.0	2	1	2014.0	2017.0
Parkinson Disease	C0030567	MDGA2	161357	Q7Z553	MAM domain containing glycosylphosphatidylinositol anchor 2		24	0.76	0.308	0.66457	0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	BRINP1	1620	O60477	BMP/retinoic acid inducible neural specific 1		64	0.615	0.615	0.99251	0.1		1.0	1	1	2010.0	2010.0
Parkinson Disease	C0030567	DBH	1621	P09172	dopamine beta-hydroxylase		202	0.511	0.846	3.3352e-10	0.1		0.917	12	7	2004.0	2019.0
Parkinson Disease	C0030567	SPPL2C	162540	Q8IUH8	signal peptide peptidase like 2C	Enzyme	14	0.76	0.192	0.00018192	0.1		1.0	4	7	2009.0	2014.0
Parkinson Disease	C0030567	ACE	1636	P12821	angiotensin I converting enzyme	Enzyme	1082	0.328	0.923	1.0344e-37	0.1		0.667	12	0	1999.0	2019.0
Parkinson Disease	C0030567	SPTSSB	165679	Q8NFR3	serine palmitoyltransferase small subunit B		1	1.0	0.038	0.00086955	0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	PARK10	170534		Parkinson disease 10 (susceptibility)		3	0.89	0.038		0.1		0.917	12	0	2005.0	2020.0
Parkinson Disease	C0030567	ASXL1	171023	Q8IXJ9	ASXL transcriptional regulator 1		296	0.482	0.808	1.2511e-14	0.1		0.957	23	0	2017.0	2020.0
Parkinson Disease	C0030567	DRD3	1814	P35462	dopamine receptor D3	G-protein coupled receptor	199	0.529	0.692	0.0023694	0.1		0.917	24	1	2003.0	2020.0
Parkinson Disease	C0030567	EEF1A2	1917	Q05639	eukaryotic translation elongation factor 1 alpha 2	Enzyme	166	0.554	0.808	0.99558	0.1		0.974	39	0	2004.0	2020.0
Parkinson Disease	C0030567	EIF4G1	1981	Q04637	eukaryotic translation initiation factor 4 gamma 1	Nucleic acid binding	139	0.553	0.808	1.0	0.1		0.783	23	5	2011.0	2019.0
Parkinson Disease	C0030567	C9orf72	203228	Q96LT7	C9orf72-SMCR8 complex subunit		258	0.496	0.769	1.0647e-06	0.1		0.812	16	1	2012.0	2019.0
Parkinson Disease	C0030567	AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	1250	0.311	0.962	0.9759	0.1		0.95	20	4	2008.0	2020.0
Parkinson Disease	C0030567	ESR1	2099	P03372	estrogen receptor 1	Nuclear receptor	1101	0.324	0.962	0.9992	0.1		0.909	11	3	1999.0	2019.0
Parkinson Disease	C0030567	ALDH1A1	216	P00352	aldehyde dehydrogenase 1 family member A1	Enzyme	270	0.46	0.846	0.95448	0.1		1.0	11	1	2003.0	2019.0
Parkinson Disease	C0030567	ALDH2	217	P05091	aldehyde dehydrogenase 2 family member	Enzyme	337	0.457	0.885	3.3959e-10	0.1		1.0	11	4	2013.0	2019.0
Parkinson Disease	C0030567	SIRT2	22933	Q8IXJ6	sirtuin 2	Epigenetic regulator	172	0.51	0.769	2.3295e-08	0.1		1.0	18	4	2007.0	2020.0
Parkinson Disease	C0030567	TBC1D9	23158	Q6ZT07	TBC1 domain family member 9	Enzyme	491	0.399	0.846	2.8039e-05	0.1		0.9	10	0	2003.0	2017.0
Parkinson Disease	C0030567	SYT11	23208	Q9BT88	synaptotagmin 11	Transporter	4	0.861	0.192	0.92676	0.1		0.917	12	0	2004.0	2019.0
Parkinson Disease	C0030567	MCF2L	23263	O15068	MCF.2 cell line derived transforming sequence like	Signaling	124	0.559	0.769	2.7178e-07	0.1		0.979	47	1	2010.0	2019.0
Parkinson Disease	C0030567	FMR1	2332	Q06787	FMRP translational regulator 1	Nucleic acid binding	346	0.473	0.769	0.64718	0.1		0.929	14	0	2005.0	2020.0
Parkinson Disease	C0030567	SYNM	23336	O15061	synemin		93	0.575	0.731	3.0339e-24	0.1		1.0	12	0	2000.0	2019.0
Parkinson Disease	C0030567	SIRT1	23411	Q96EB6	sirtuin 1	Epigenetic regulator	675	0.378	0.885	0.087326	0.1		0.812	16	2	2012.0	2020.0
Parkinson Disease	C0030567	TARDBP	23435	Q13148	TAR DNA binding protein		245	0.493	0.808	0.98542	0.1		0.947	19	2	2008.0	2020.0
Parkinson Disease	C0030567	SF3B1	23451	O75533	splicing factor 3b subunit 1	Nucleic acid binding	200	0.511	0.731	1.0	0.1		0.957	23	0	2017.0	2020.0
Parkinson Disease	C0030567	SMUG1	23583	Q53HV7	single-strand-selective monofunctional uracil-DNA glycosylase 1		1034	0.322	0.923	0.00045154	0.1		1.0	18	0	2017.0	2020.0
Parkinson Disease	C0030567	MTOR	2475	P42345	mechanistic target of rapamycin kinase	Kinase	960	0.343	0.885	1.0	0.1		1.0	21	0	2008.0	2020.0
Parkinson Disease	C0030567	FYN	2534	P06241	FYN proto-oncogene, Src family tyrosine kinase	Kinase	116	0.556	0.731	0.99406	0.1		1.0	13	0	2000.0	2019.0
Parkinson Disease	C0030567	GABPA	2551	Q06546	GA binding protein transcription factor subunit alpha	Transcription factor	632	0.379	0.885	0.99812	0.1		0.977	43	0	2006.0	2020.0
Parkinson Disease	C0030567	FBXO7	25793	Q9Y3I1	F-box protein 7		76	0.65	0.769	5.7858e-07	0.1		0.955	22	5	2009.0	2019.0
Parkinson Disease	C0030567	RNF19A	25897	Q9NV58	ring finger protein 19A, RBR E3 ubiquitin protein ligase	Enzyme	523	0.397	0.923	0.025305	0.1		1.0	11	0	2003.0	2019.0
Parkinson Disease	C0030567	GAPDH	2597	P04406	glyceraldehyde-3-phosphate dehydrogenase	Enzyme	305	0.447	0.808	0.11388	0.1		1.0	10	4	2000.0	2020.0
Parkinson Disease	C0030567	GIGYF2	26058	Q6Y7W6	GRB10 interacting GYF protein 2		54	0.711	0.269	1.0	0.1		0.8	25	9	2005.0	2017.0
Parkinson Disease	C0030567	POLDIP2	26073	Q9Y2S7	DNA polymerase delta interacting protein 2		530	0.396	0.923	0.41407	0.1		1.0	10	0	2003.0	2019.0
Parkinson Disease	C0030567	FGF20	26281	Q9NP95	fibroblast growth factor 20	Signaling	45	0.663	0.577	0.81379	0.1		0.833	24	3	2004.0	2019.0
Parkinson Disease	C0030567	GBAP1	2630		glucosylceramidase beta pseudogene 1		64	0.623	0.538		0.1		1.0	26	1	2005.0	2019.0
Parkinson Disease	C0030567	GCG	2641	P01275	glucagon		441	0.431	0.885	0.034814	0.1		1.0	18	0	2014.0	2019.0
Parkinson Disease	C0030567	HPGDS	27306	O60760	hematopoietic prostaglandin D synthase		570	0.388	0.923	1.8063e-06	0.1		1.0	15	0	1999.0	2019.0
Parkinson Disease	C0030567	GLP1R	2740	P43220	glucagon like peptide 1 receptor	G-protein coupled receptor	288	0.471	0.846	0.29347	0.1		1.0	16	0	2017.0	2019.0
Parkinson Disease	C0030567	HTRA2	27429	O43464	HtrA serine peptidase 2		151	0.542	0.692	0.0035755	0.1		0.969	32	4	2005.0	2018.0
Parkinson Disease	C0030567	GPR37	2861	O15354	G protein-coupled receptor 37	G-protein coupled receptor	23	0.716	0.385	0.00033812	0.1		1.0	11	0	2006.0	2019.0
Parkinson Disease	C0030567	REM1	28954	O75628	RRAD and GEM like GTPase 1		177	0.531	0.885	5.3363e-08	0.1		1.0	12	0	2011.0	2019.0
Parkinson Disease	C0030567	GRN	2896	P28799	granulin precursor		412	0.435	0.846	0.069666	0.1		0.917	12	3	2007.0	2018.0
Parkinson Disease	C0030567	GRIN2B	2904	Q13224	glutamate ionotropic receptor NMDA type subunit 2B	Ion channel	249	0.51	0.692	1.0	0.1		1.0	13	3	2002.0	2019.0
Parkinson Disease	C0030567	CTNNA3	29119	Q9UI47	catenin alpha 3	Cellular structure	73	0.612	0.692	1.0225e-12	0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	GRM5	2915	P41594	glutamate metabotropic receptor 5	G-protein coupled receptor	189	0.525	0.846	0.99872	0.1		1.0	17	0	2010.0	2020.0
Parkinson Disease	C0030567	GSTT1	2952	P30711	glutathione S-transferase theta 1		541	0.393	0.923	0.00014834	0.1		0.583	12	0	1999.0	2019.0
Parkinson Disease	C0030567	HTT	3064	P42858	huntingtin		188	0.548	0.654	1.0	0.1		1.0	15	0	2003.0	2019.0
Parkinson Disease	C0030567	RPA2P1	326628		replication protein A2 pseudogene 1		1	1.0	0.038		0.1		1.0	1	1	2016.0	2016.0
Parkinson Disease	C0030567	PRSS53	339105	Q2L4Q9	serine protease 53		2	1.0	0.038	9.3515e-17	0.1		1.0	1	1	2012.0	2012.0
Parkinson Disease	C0030567	TMC3	342125	Q7Z5M5	transmembrane channel like 3		3	0.931	0.077	3.8941e-22	0.1		1.0	1	1	2013.0	2013.0
Parkinson Disease	C0030567	MCIDAS	345643	D6RGH6	multiciliate differentiation and DNA synthesis associated cell cycle protein		119	0.566	0.769	0.013264	0.1		1.0	14	0	2015.0	2019.0
Parkinson Disease	C0030567	IGF1	3479	P05019	insulin like growth factor 1		1206	0.318	0.885	0.2716	0.1		0.818	11	1	2008.0	2019.0
Parkinson Disease	C0030567	IGFALS	3483	P35858	insulin like growth factor binding protein acid labile subunit	Receptor	203	0.511	0.846	5.4379e-11	0.1		1.0	10	1	2001.0	2020.0
Parkinson Disease	C0030567	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.1		1.0	14	5	2002.0	2018.0
Parkinson Disease	C0030567	IL1A	3552	P01583	interleukin 1 alpha		1002	0.333	0.962	0.0001602	0.1		0.636	11	0	2002.0	2019.0
Parkinson Disease	C0030567	IL10	3586	P22301	interleukin 10		1679	0.281	0.923	0.0058874	0.1		0.882	17	0	2005.0	2019.0
Parkinson Disease	C0030567	TMPRSS9	360200	Q7Z410	transmembrane serine protease 9		5	0.861	0.192	1.6181e-17	0.1		1.0	2	1	2014.0	2017.0
Parkinson Disease	C0030567	ITIH1	3697	P19827	inter-alpha-trypsin inhibitor heavy chain 1	Enzyme modulator	38	0.691	0.462	2.0755e-31	0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	GSTK1	373156	Q9Y2Q3	glutathione S-transferase kappa 1		445	0.412	0.885	1.9374e-06	0.1		0.909	11	0	1999.0	2019.0
Parkinson Disease	C0030567	TPTE2P6	374491		transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 6		4	0.931	0.038		0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	LAMC2	3918	Q13753	laminin subunit gamma 2	Enzyme modulator	602	0.389	0.923	2.8791e-12	0.1		0.968	31	0	2017.0	2020.0
Parkinson Disease	C0030567	LINC01121	400952		long intergenic non-protein coding RNA 1121		15	0.751	0.192		0.1		1.0	1	1	2010.0	2010.0
Parkinson Disease	C0030567	LRP2	4036	P98164	LDL receptor related protein 2		254	0.491	0.846	0.99999	0.1		0.979	47	0	2010.0	2019.0
Parkinson Disease	C0030567	LY6E	4061	Q16553	lymphocyte antigen 6 family member E		115	0.563	0.808	0.3211	0.1		0.833	12	0	2003.0	2018.0
Parkinson Disease	C0030567	ATXN3	4287	P54252	ataxin 3	Enzyme	207	0.521	0.808	0.10575	0.1		0.917	12	0	2003.0	2019.0
Parkinson Disease	C0030567	ACHE	43	P22303	acetylcholinesterase (Cartwright blood group)	Enzyme	418	0.445	0.885	0.99827	0.1		1.0	17	0	2005.0	2019.0
Parkinson Disease	C0030567	MPZ	4359	P25189	myelin protein zero		249	0.503	0.846	0.27158	0.1		1.0	26	0	2000.0	2019.0
Parkinson Disease	C0030567	UNC13C	440279	Q8NB66	unc-13 homolog C		11	0.931	0.115	2.1692e-15	0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	TYW1B	441250	Q6NUM6	tRNA-yW synthesizing protein 1 homolog B		3	1.0	0.038	5.4289e-20	0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	CDNF	441549	Q49AH0	cerebral dopamine neurotrophic factor		15	0.78	0.231	6.1335e-07	0.1		1.0	18	1	2007.0	2020.0
Parkinson Disease	C0030567	DPY19L2P3	442524		DPY19L2 pseudogene 3		2	1.0	0.038		0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	MX2	4600	P20592	MX dynamin like GTPase 2	Enzyme modulator	14	0.751	0.231	6.4792e-09	0.1		1.0	1	1	2015.0	2015.0
Parkinson Disease	C0030567	NEFL	4747	P07196	neurofilament light		247	0.488	0.769		0.1		1.0	12	0	2002.0	2019.0
Parkinson Disease	C0030567	NFE2L2	4780	Q16236	nuclear factor, erythroid 2 like 2	Enzyme	823	0.357	0.885	0.0035719	0.1		0.983	59	6	2006.0	2020.0
Parkinson Disease	C0030567	NOS2	4843	P35228	nitric oxide synthase 2		783	0.364	0.923	4.0277e-15	0.1		1.0	11	2	1997.0	2018.0
Parkinson Disease	C0030567	NRTN	4902	Q99748	neurturin	Signaling	43	0.686	0.538	0.030223	0.1		0.964	28	0	2007.0	2020.0
Parkinson Disease	C0030567	PAFAH1B1	5048	P43034	platelet activating factor acetylhydrolase 1b regulatory subunit 1		219	0.504	0.769	0.99995	0.1		0.957	23	0	2017.0	2020.0
Parkinson Disease	C0030567	PARK3	5072		Parkinson disease 3 (autosomal dominant, Lewy body)		6	0.821	0.038		0.1		0.917	12	0	1999.0	2013.0
Parkinson Disease	C0030567	CHCHD2	51142	Q9Y6H1	coiled-coil-helix-coiled-coil-helix domain containing 2		57	0.638	0.538	1.7328e-07	0.1		0.857	21	3	2015.0	2019.0
Parkinson Disease	C0030567	IP6K2	51447	Q9UHH9	inositol hexakisphosphate kinase 2	Kinase	18	0.821	0.231	0.973	0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	SYT17	51760	Q9BSW7	synaptotagmin 17	Transporter	5	1.0	0.038	1.0974e-05	0.1		1.0	2	1	2016.0	2017.0
Parkinson Disease	C0030567	PIK3CA	5290	P42336	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	Kinase	1511	0.292	0.923	1.0	0.1		1.0	26	0	2005.0	2020.0
Parkinson Disease	C0030567	PIK3CB	5291	P42338	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	Kinase	1083	0.322	0.885	0.99964	0.1		1.0	26	0	2005.0	2020.0
Parkinson Disease	C0030567	PIK3CD	5293	O00329	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	Kinase	1119	0.319	0.885	0.99999	0.1		1.0	26	1	2005.0	2020.0
Parkinson Disease	C0030567	PIK3CG	5294	P48736	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma	Kinase	1101	0.32	0.885	1.4076e-06	0.1		1.0	26	0	2005.0	2020.0
Parkinson Disease	C0030567	DCUN1D1	54165	Q96GG9	defective in cullin neddylation 1 domain containing 1		37	0.67	0.538	0.98526	0.1		1.0	1	1	2011.0	2011.0
Parkinson Disease	C0030567	TREM2	54209	Q9NZC2	triggering receptor expressed on myeloid cells 2		239	0.519	0.769	3.2892e-09	0.1		0.8	20	3	2013.0	2020.0
Parkinson Disease	C0030567	POLG	5428	P54098	DNA polymerase gamma, catalytic subunit	Enzyme	462	0.457	0.846	2.0756e-09	0.1		0.692	13	3	2006.0	2019.0
Parkinson Disease	C0030567	PON1	5444	P27169	paraoxonase 1		496	0.409	0.885	9.8142e-11	0.1		0.955	22	2	1998.0	2018.0
Parkinson Disease	C0030567	TET2	54790	Q6N021	tet methylcytosine dioxygenase 2		362	0.458	0.808	4.3334e-54	0.1		0.957	23	0	2017.0	2020.0
Parkinson Disease	C0030567	CNNM2	54805	Q9H8M5	cyclin and CBS domain divalent metal cation transport mediator 2		91	0.641	0.346	0.99521	0.1		1.0	1	2	2009.0	2009.0
Parkinson Disease	C0030567	WBP1L	54838	Q9NX94	WW domain binding protein 1 like		22	0.769	0.462	0.64011	0.1		1.0	1	1	2009.0	2009.0
Parkinson Disease	C0030567	PLPPR1	54886	Q8TBJ4	phospholipid phosphatase related 1	Enzyme	28	0.78	0.077	0.56614	0.1		1.0	1	1	2018.0	2018.0
Parkinson Disease	C0030567	PREP	5550	P48147	prolyl endopeptidase	Enzyme	105	0.576	0.731	0.08025	0.1		1.0	11	0	2011.0	2020.0
Parkinson Disease	C0030567	PIP4P2	55529	Q8N4L2	phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2		1	1.0	0.038	0.00042164	0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	MAPK1	5594	P28482	mitogen-activated protein kinase 1	Kinase	1059	0.33	0.923	0.99698	0.1		1.0	14	0	2003.0	2019.0
Parkinson Disease	C0030567	SLC50A1	55974	Q9BRV3	solute carrier family 50 member 1	Transporter	36	0.686	0.538	0.0019259	0.1		1.0	1	1	2012.0	2012.0
Parkinson Disease	C0030567	PRNP	5621	F7VJQ1;P04156	prion protein		426	0.445	0.923	0.00063182	0.1		1.0	13	2	2006.0	2020.0
Parkinson Disease	C0030567	PDSS2	57107	Q86YH6	decaprenyl diphosphate synthase subunit 2		83	0.626	0.577	4.3743e-08	0.1		1.0	18	0	2011.0	2019.0
Parkinson Disease	C0030567	PTEN	5728	P60484	phosphatase and tensin homolog	Enzyme	1349	0.305	0.923	0.25651	0.1		0.963	27	2	2004.0	2019.0
Parkinson Disease	C0030567	PTGS2	5743	P35354	prostaglandin-endoperoxide synthase 2	Enzyme	1234	0.314	0.962	0.99597	0.1		1.0	10	0	2007.0	2018.0
Parkinson Disease	C0030567	BCHE	590	P06276	butyrylcholinesterase		392	0.447	0.923	1.0643e-13	0.1		1.0	16	2	2000.0	2019.0
Parkinson Disease	C0030567	BCL2	596	P10415	BCL2 apoptosis regulator	Signaling	1456	0.291	0.885	0.55903	0.1		1.0	17	0	1999.0	2019.0
Parkinson Disease	C0030567	RET	5979	P07949	ret proto-oncogene	Kinase	607	0.392	0.885	1.0	0.1		1.0	10	0	2000.0	2020.0
Parkinson Disease	C0030567	ATXN2	6311	Q99700	ataxin 2	Nucleic acid binding	341	0.482	0.808	0.85289	0.1		0.833	18	0	2003.0	2018.0
Parkinson Disease	C0030567	SCN2A	6326	Q99250	sodium voltage-gated channel alpha subunit 2	Ion channel	232	0.518	0.731	1.0	0.1		1.0	1	1	2017.0	2017.0
Parkinson Disease	C0030567	CCL2	6347	P13500	C-C motif chemokine ligand 2	Signaling	1157	0.321	0.962	0.60786	0.1		0.818	11	0	2003.0	2019.0
Parkinson Disease	C0030567	DNAJC1	64215	Q96KC8	DnaJ heat shock protein family (Hsp40) member C1		8	0.821	0.154	1.3254e-08	0.1		1.0	1	1	2006.0	2006.0
Parkinson Disease	C0030567	CASC16	643714		cancer susceptibility 16		12	0.78	0.308		0.1		1.0	1	2	2017.0	2017.0
Parkinson Disease	C0030567	SNCA-AS1	644248		SNCA antisense RNA 1		2	1.0	0.038		0.1		1.0	1	10	2012.0	2012.0
Parkinson Disease	C0030567	SMPD1	6609	P17405	sphingomyelin phosphodiesterase 1	Enzyme	247	0.499	0.885	3.8932e-10	0.1		1.0	14	5	2013.0	2019.0
Parkinson Disease	C0030567	SNCB	6620	Q16143	synuclein beta	Transporter	60	0.619	0.577	0.068062	0.1		0.966	89	2	1999.0	2020.0
Parkinson Disease	C0030567	SNCG	6623	O76070	synuclein gamma	Transporter	122	0.55	0.615	0.0008475	0.1		0.959	74	1	1999.0	2020.0
Parkinson Disease	C0030567	THY1	7070	P04216	Thy-1 cell surface antigen		197	0.496	0.808	0.049895	0.1		1.0	13	0	2007.0	2019.0
Parkinson Disease	C0030567	TLR4	7099	O00206	toll like receptor 4		1174	0.321	0.962	4.6131e-09	0.1		1.0	14	4	2014.0	2019.0
Parkinson Disease	C0030567	TP53	7157	P04637	tumor protein p53	Transcription factor	2494	0.236	0.962	0.53235	0.1		1.0	13	2	2011.0	2020.0
Parkinson Disease	C0030567	TPO	7173	P07202	thyroid peroxidase	Enzyme	306	0.455	0.846	1.8182e-21	0.1		1.0	21	0	2007.0	2019.0
Parkinson Disease	C0030567	UCHL1	7345	P09936	ubiquitin C-terminal hydrolase L1	Enzyme	260	0.482	0.885	0.99095	0.1		0.948	77	4	1999.0	2020.0
Parkinson Disease	C0030567	VDR	7421	P11473	vitamin D receptor	Nuclear receptor	852	0.352	0.885	1.6787e-05	0.1		0.955	22	8	2005.0	2020.0
Parkinson Disease	C0030567	VEGFA	7422	P15692	vascular endothelial growth factor A	Signaling	1899	0.266	0.923	2.4085e-05	0.1		0.818	11	3	2004.0	2018.0
Parkinson Disease	C0030567	WNT3	7473	P56703	Wnt family member 3	Signaling	140	0.536	0.808	0.87515	0.1		1.0	4	4	2011.0	2014.0
Parkinson Disease	C0030567	YWHAE	7531	P62258	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon	Chaperone	176	0.53	0.692	0.98479	0.1		0.957	23	0	2017.0	2020.0
